,Unnamed: 0,starttime,endtime,text,question
0,0,2.35,5.02,"so the first question uh, where were you born",1/
1,1,11.52376,14.69376,uh okay which city,1f/
2,2,21.81972,23.43972,okay uh,0
3,3,25.29972,28.19972,so how many years did you live in your first home,2/
4,4,30.80972,32.88972,okay so you never moved out,2f/
5,5,36.2632,38.7332,okay uh what's your mother's job,3/
6,6,43.31322,48.57322,okay um uh does she do the same job all the time,3f/
7,7,52.36668,53.78668,so what's your father's job,4/
8,8,58.14518,61.93518,okay so he is a politician,4f/
9,9,62.97656,64.82518,uh in which area,4f/
10,10,67.53307,72.56307,uh have uh have your parents divorced,5/
11,11,72.63185,72.79183,yes,0
12,12,74.21183,75.65183,uh which year,5f/
13,13,79.08762,79.65762,okay,0
14,14,81.20762,84.1222,um have you ever broken a bone,6/
15,15,85.62287,89.25442,okay uh yeah how many times then,6f/
16,16,92.26283,98.15727,okay do you have allergies to any food,7/
17,17,99.41727,100.51727,uh what,7f/
18,18,102.44727,103.66727,okay anything else,7f/
19,19,105.52727,112.94727,hmm you ever stayed overnight in a hospital as a patient,8/
20,20,121.17679,123.93679,so have you ever tweet tweeted,9/
21,21,124.13679,130.18364,uh okay have you ever bought anything on ebay,10/
22,22,133.96721,137.85721,you did okay what's that,10f/
23,23,142.05737,149.2808,okay do you own an e-reader of any kind,11/
24,24,152.1608,154.7308,uh you don't use the i book or something,11f/
25,25,157.71618,162.24618,but have you ever read those uh books on the on those ipad or something,11f/
26,26,163.91618,164.05618,yeah,0
27,27,166.76367,167.47367,oh okay,0
28,28,174.18294,178.42153,who was uh who was the last person you were in a physical fight with,12/
29,29,180.02294,182.03294,uh do you remember when,12f/
30,30,183.19294,185.92294,high school okay oh,0
31,31,189.48764,193.05764,have you ever gotten into trouble with the police,13/
32,32,194.37764,195.23764,how many times,13f/
33,33,197.56764,205.61764,okay um who ended your last romantic relationship,14
34,34,208.54764,211.24764,you mean romantic relationship or relationship,14f/
35,35,219.17858,223.42859,who whom do you love more your father or your mother,15/
36,36,228.81138,233.04138,are you with your mother or father i mean do you stay with your mother or your father,15f/
37,37,236.93872,241.73872,i i mean you say your parents divorced alright i mean who who did you stay with,15f/
38,38,244.38872,253.65872,mother okay uh what's the most you have ever spent uh what's the most you have ever spent on a pair of shoes,16/
39,39,255.31872,266.75154,a hundred um what's the l- what's the last movie you s- oh wait a minute sorry what's that shoe's brand,16f
40,40,268.71154,273.93154,the the brand of the shoes y- you spend mo- i mean spend the most of money the,16f/
41,41,274.08154,275.10154,brand of shoes,0
42,42,276.24154,277.47229,converse okay uh um,0
43,43,279.34229,283.27229,uh what's the last movie you saw that you really hated,17/
44,44,290.4768,292.24167,have you ever gone ice skating,18/
45,45,297.54715,305.04219,um do you currently own a tennis racket how,19/
46,46,305.26219,305.51219,many,0
47,47,308.45509,310.19219,how many roommates do you have,20/
48,48,315.9873,326.343,okay uh if you attended a college what's was your what was your major,21/
49,49,329.81016,336.23228,um you um did you ever have a cat,22/
50,50,340.78272,352.20869,uh have you ever watched a person or pet die when,23/
51,51,354.97737,355.16737,o,0
52,52,356.50869,358.4711,okay,0
53,53,367.90585,371.49585,did you cheat on a exam or a test in your high school,24/
